Pemerintah\NNP kota\NNP Delhi\NNP 3, pemerintah\NNP kota\NNP Delhi\NNP 41
saya\PRP 154, permata\NN itu,\PR 209
saya\PRP 154, nya\PRP 210
saya\PRP 154, Anthony\NNP Thomas\NNP 213
saya\PRP 154, Kalifornia\NNP 215
saya\PRP 154, dia\PRP 216
saya\PRP 154, jamrud\NN tersebut\PR 220
saya\PRP 154, Thomas\NNP 222
saya\PRP 154, batu\NN itu\PR 223
saya\PRP 154, nya\PRP 225
saya\PRP 154, Dia\PRP 227
saya\PRP 154, batu\NN itu\PR 228
saya\PRP 154, Thomas\NNP 230
saya\PRP 154, jamrud\NN raksasa\JJ itu.\PR 233
saya\PRP 154, dia\PRP 235
saya\PRP 154, nya.\PRP 237
saya\PRP 154, Jamrud\NN itu\PR 238
saya\PRP 154, Amerika\NNP 240
saya\PRP 154, nya.\PRP 241
saya\PRP 154, batu\NN itu\PR 243
saya\PRP 154, New\NNP Orleans\NNP 245
saya\PRP 154, daerah\NN itu\PR 247
saya\PRP 154, Las\NNP Vegas\NNP 253
nya\PRP 155, nya\PRP 165
nya\PRP 155, nya\PRP 198
nya\PRP 155, nya\PRP 210
nya\PRP 155, nya\PRP 225
nya\PRP 155, nya.\PRP 237
nya\PRP 155, nya.\PRP 241
Juli\NNP 2010\CD 158, lebih\RB dari\IN 500\CD juta\CD 159
Zuckerberg\NNP 162, rekan\NN Zuckerberg\NNP 180
sekarang\NN ini,\PR 164, Mereka\PRP 184
nya\PRP 165, Mereka\PRP 184
nya\PRP 165, nya\PRP 210
nya\PRP 165, nya\PRP 225
nya\PRP 165, nya.\PRP 237
nya\PRP 165, nya.\PRP 241
dia\PRP 166, dia\PRP 177
dia\PRP 166, Mereka\PRP 184
dia\PRP 166, dia\PRP 216
dia\PRP 166, Dia\PRP 227
dia\PRP 166, dia\PRP 235
dia\PRP 166, dia\PRP 263
situs\NN ini\PR 167, Mereka\PRP 184
Universitas\NNP Harvard.\NNP 169, Harvard\NNP 181
dia\PRP 172, Mereka\PRP 184
dia\PRP 172, dia\PRP 216
dia\PRP 172, Dia\PRP 227
dia\PRP 172, dia\PRP 235
dia\PRP 172, dia\PRP 263
dia\PRP 172, badut\NN itu,\PR 265
Amerika\NNP Serikat\NNP 174, Amerika,\NNP 239
Amerika\NNP Serikat\NNP 174, Amerika\NNP 240
dia\PRP 177, Dia\PRP 227
dia\PRP 177, dia\PRP 235
dia\PRP 177, dia\PRP 263
dia\PRP 177, badut\NN itu,\PR 265
dia\PRP 177, dia\PRP 270
mereka.\PRP 183, badut\NN itu,\PR 265
Mereka\PRP 184, jamrud\NN raksasa\JJ itu\PR 202
Mereka\PRP 184, batu\NN tersebut.\PR 206
Mereka\PRP 184, permata\NN itu,\PR 209
Mereka\PRP 184, nya\PRP 210
Mereka\PRP 184, dia\PRP 216
Mereka\PRP 184, jamrud\NN tersebut\PR 220
Mereka\PRP 184, Dia\PRP 227
Mereka\PRP 184, batu\NN itu\PR 228
Mereka\PRP 184, jamrud\NN raksasa\JJ itu.\PR 233
Mereka\PRP 184, dia\PRP 235
Mereka\PRP 184, nya.\PRP 237
Mereka\PRP 184, Jamrud\NN itu\PR 238
Mereka\PRP 184, nya.\PRP 241
Mereka\PRP 184, batu\NN itu\PR 243
Mereka\PRP 184, daerah\NN itu\PR 247
Mereka\PRP 184, dia\PRP 263
Mereka\PRP 184, badut\NN itu,\PR 265
Mereka\PRP 184, dia\PRP 270
Mereka\PRP 184, nya\PRP 276
nya\PRP 187, nya\PRP 198
nya\PRP 187, nya.\PRP 237
nya\PRP 187, nya.\PRP 241
nya\PRP 187, badut\NN itu,\PR 265
jamrud\NNP Bahia\NNP 192, Jamrud\NNP Bahia\NNP 197
jamrud\NNP Bahia\NNP 192, Jamrud\NNP Bahia\NNP 252
Jaksa\NN Kalifornia\NNP 193, Jaksa\NN 207
jamrud\NN raksasa,\JJ 196, jamrud\NN raksasa\JJ itu\PR 202
jamrud\NN raksasa,\JJ 196, jamrud\NN raksasa\JJ itu.\PR 233
jamrud\NN raksasa,\JJ 196, saya\PRP 284
jamrud\NN raksasa,\JJ 196, saya\PRP 285
jamrud\NN raksasa,\JJ 196, saya\PRP 286
Jamrud\NNP Bahia\NNP 197, Jamrud\NNP Bahia\NNP 252
nya\PRP 198, nya\PRP 210
nya\PRP 198, nya.\PRP 241
nya\PRP 198, badut\NN itu,\PR 265
nya\PRP 198, anda\PRP 283
nya\PRP 198, saya\PRP 284
nya\PRP 198, saya\PRP 285
nya\PRP 198, saya\PRP 286
Brasil\NNP 200, Brasil\NNP 258
Brasil\NNP 200, Sejumlah\CD surat\NN kabar\NN Brasil\NNP 271
Brasil\NNP 200, satu\CD dari\IN sepuluh\CD warga\NN Brasil\NNP 273
jamrud\NN raksasa\JJ itu\PR 202, badut\NN itu,\PR 265
jamrud\NN raksasa\JJ itu\PR 202, nya\PRP 276
jamrud\NN raksasa\JJ itu\PR 202, nya\PRP 279
jamrud\NN raksasa\JJ itu\PR 202, saya\PRP 284
jamrud\NN raksasa\JJ itu\PR 202, saya\PRP 285
jamrud\NN raksasa\JJ itu\PR 202, saya\PRP 286
jamrud\NN raksasa\JJ itu\PR 202, nya\PRP 292
batu\NN tersebut.\PR 206, badut\NN itu,\PR 265
batu\NN tersebut.\PR 206, nya\PRP 276
batu\NN tersebut.\PR 206, nya\PRP 279
batu\NN tersebut.\PR 206, anda\PRP 283
batu\NN tersebut.\PR 206, saya\PRP 284
batu\NN tersebut.\PR 206, saya\PRP 285
batu\NN tersebut.\PR 206, saya\PRP 286
batu\NN tersebut.\PR 206, nya\PRP 292
Jaksa\NN 207, saya\PRP 284
Jaksa\NN 207, saya\PRP 285
Jaksa\NN 207, saya\PRP 286
permata\NN itu,\PR 209, badut\NN itu,\PR 265
permata\NN itu,\PR 209, nya\PRP 276
permata\NN itu,\PR 209, nya\PRP 279
permata\NN itu,\PR 209, anda\PRP 283
permata\NN itu,\PR 209, saya\PRP 284
permata\NN itu,\PR 209, saya\PRP 285
permata\NN itu,\PR 209, saya\PRP 286
permata\NN itu,\PR 209, nya\PRP 292
nya\PRP 210, nya\PRP 225
nya\PRP 210, badut\NN itu,\PR 265
nya\PRP 210, anda\PRP 283
nya\PRP 210, saya\PRP 284
nya\PRP 210, saya\PRP 285
nya\PRP 210, saya\PRP 286
nya\PRP 210, nya\PRP 295
Anthony\NNP Thomas\NNP 213, ahli\NN konstruksi\NN 214
dia\PRP 216, Dia\PRP 227
dia\PRP 216, dia\PRP 263
dia\PRP 216, badut\NN itu,\PR 265
dia\PRP 216, dia\PRP 270
dia\PRP 216, nya\PRP 276
dia\PRP 216, nya\PRP 279
dia\PRP 216, Dia\PRP 282
dia\PRP 216, anda\PRP 283
dia\PRP 216, saya\PRP 284
dia\PRP 216, saya\PRP 285
dia\PRP 216, saya\PRP 286
dia\PRP 216, nya\PRP 292
dia\PRP 216, dia\PRP 296
dua\CD orang\NND 217, saya\PRP 284
dua\CD orang\NND 217, saya\PRP 285
dua\CD orang\NND 217, saya\PRP 286
agen\NN permata\NN 218, saya\PRP 284
agen\NN permata\NN 218, saya\PRP 285
agen\NN permata\NN 218, saya\PRP 286
jamrud\NN tersebut\PR 220, badut\NN itu,\PR 265
jamrud\NN tersebut\PR 220, nya\PRP 276
jamrud\NN tersebut\PR 220, nya\PRP 279
jamrud\NN tersebut\PR 220, anda\PRP 283
jamrud\NN tersebut\PR 220, saya\PRP 284
jamrud\NN tersebut\PR 220, saya\PRP 285
jamrud\NN tersebut\PR 220, saya\PRP 286
jamrud\NN tersebut\PR 220, nya\PRP 292
batu\NN itu\PR 223, badut\NN itu,\PR 265
batu\NN itu\PR 223, nya\PRP 276
batu\NN itu\PR 223, nya\PRP 279
batu\NN itu\PR 223, anda\PRP 283
batu\NN itu\PR 223, saya\PRP 284
batu\NN itu\PR 223, saya\PRP 285
batu\NN itu\PR 223, saya\PRP 286
batu\NN itu\PR 223, nya\PRP 292
nya\PRP 225, nya.\PRP 237
nya\PRP 225, badut\NN itu,\PR 265
nya\PRP 225, anda\PRP 283
nya\PRP 225, saya\PRP 284
nya\PRP 225, saya\PRP 285
nya\PRP 225, saya\PRP 286
nya\PRP 225, nya\PRP 295
nya\PRP 225, nya\PRP 299
nya\PRP 225, nya,\PRP 305
Dia\PRP 227, dia\PRP 235
Dia\PRP 227, badut\NN itu,\PR 265
Dia\PRP 227, dia\PRP 270
Dia\PRP 227, nya\PRP 276
Dia\PRP 227, nya\PRP 279
Dia\PRP 227, Dia\PRP 282
Dia\PRP 227, anda\PRP 283
Dia\PRP 227, saya\PRP 284
Dia\PRP 227, saya\PRP 285
Dia\PRP 227, saya\PRP 286
Dia\PRP 227, nya\PRP 292
Dia\PRP 227, dia\PRP 296
Dia\PRP 227, dia\PRP 306
batu\NN itu\PR 228, badut\NN itu,\PR 265
batu\NN itu\PR 228, nya\PRP 276
batu\NN itu\PR 228, nya\PRP 279
batu\NN itu\PR 228, anda\PRP 283
batu\NN itu\PR 228, saya\PRP 284
batu\NN itu\PR 228, saya\PRP 285
batu\NN itu\PR 228, saya\PRP 286
batu\NN itu\PR 228, nya\PRP 292
batu\NN itu\PR 228, Dia\PRP 310
enam\CD pihak\NN 232, saya\PRP 284
enam\CD pihak\NN 232, saya\PRP 285
enam\CD pihak\NN 232, saya\PRP 286
jamrud\NN raksasa\JJ itu.\PR 233, nya\PRP 279
jamrud\NN raksasa\JJ itu.\PR 233, anda\PRP 283
jamrud\NN raksasa\JJ itu.\PR 233, saya\PRP 284
jamrud\NN raksasa\JJ itu.\PR 233, saya\PRP 285
jamrud\NN raksasa\JJ itu.\PR 233, saya\PRP 286
jamrud\NN raksasa\JJ itu.\PR 233, nya\PRP 292
jamrud\NN raksasa\JJ itu.\PR 233, Dia\PRP 310
Satu\CD masalah\NN 234, saya\PRP 284
Satu\CD masalah\NN 234, saya\PRP 285
Satu\CD masalah\NN 234, saya\PRP 286
dia\PRP 235, badut\NN itu,\PR 265
dia\PRP 235, nya\PRP 276
dia\PRP 235, nya\PRP 279
dia\PRP 235, Dia\PRP 282
dia\PRP 235, anda\PRP 283
dia\PRP 235, saya\PRP 284
dia\PRP 235, saya\PRP 285
dia\PRP 235, saya\PRP 286
dia\PRP 235, nya\PRP 292
dia\PRP 235, dia\PRP 296
dia\PRP 235, dia\PRP 306
nya.\PRP 237, badut\NN itu,\PR 265
nya.\PRP 237, anda\PRP 283
nya.\PRP 237, saya\PRP 284
nya.\PRP 237, saya\PRP 285
nya.\PRP 237, saya\PRP 286
nya.\PRP 237, nya\PRP 295
nya.\PRP 237, nya\PRP 299
nya.\PRP 237, nya,\PRP 305
nya.\PRP 237, Dia\PRP 310
Jamrud\NN itu\PR 238, badut\NN itu,\PR 265
Jamrud\NN itu\PR 238, nya\PRP 276
Jamrud\NN itu\PR 238, nya\PRP 279
Jamrud\NN itu\PR 238, anda\PRP 283
Jamrud\NN itu\PR 238, saya\PRP 284
Jamrud\NN itu\PR 238, saya\PRP 285
Jamrud\NN itu\PR 238, saya\PRP 286
Jamrud\NN itu\PR 238, nya\PRP 292
Jamrud\NN itu\PR 238, Dia\PRP 310
Amerika,\NNP 239, Amerika\NNP 240
nya.\PRP 241, badut\NN itu,\PR 265
nya.\PRP 241, anda\PRP 283
nya.\PRP 241, saya\PRP 284
nya.\PRP 241, saya\PRP 285
nya.\PRP 241, saya\PRP 286
nya.\PRP 241, nya\PRP 295
nya.\PRP 241, nya\PRP 299
nya.\PRP 241, nya,\PRP 305
nya.\PRP 241, Dia\PRP 310
Satu\CD hal\NN 242, saya\PRP 284
Satu\CD hal\NN 242, saya\PRP 285
Satu\CD hal\NN 242, saya\PRP 286
batu\NN itu\PR 243, badut\NN itu,\PR 265
batu\NN itu\PR 243, nya\PRP 279
batu\NN itu\PR 243, anda\PRP 283
batu\NN itu\PR 243, saya\PRP 284
batu\NN itu\PR 243, saya\PRP 285
batu\NN itu\PR 243, saya\PRP 286
batu\NN itu\PR 243, nya\PRP 292
batu\NN itu\PR 243, Dia\PRP 310
daerah\NN itu\PR 247, badut\NN itu,\PR 265
daerah\NN itu\PR 247, nya\PRP 279
daerah\NN itu\PR 247, anda\PRP 283
daerah\NN itu\PR 247, saya\PRP 284
daerah\NN itu\PR 247, saya\PRP 285
daerah\NN itu\PR 247, saya\PRP 286
daerah\NN itu\PR 247, nya\PRP 292
daerah\NN itu\PR 247, Dia\PRP 310
Badut\NN politikus\NN 256, saya\PRP 284
Badut\NN politikus\NN 256, saya\PRP 285
Badut\NN politikus\NN 256, saya\PRP 286
Seorang\NND badut\NN 257, saya\PRP 284
Seorang\NND badut\NN 257, saya\PRP 285
Seorang\NND badut\NN 257, saya\PRP 286
Brasil\NNP 258, satu\CD dari\IN sepuluh\CD warga\NN Brasil\NNP 273
dia\PRP 263, dia\PRP 270
dia\PRP 263, nya\PRP 276
dia\PRP 263, nya\PRP 279
dia\PRP 263, saya\PRP 284
dia\PRP 263, saya\PRP 285
dia\PRP 263, saya\PRP 286
dia\PRP 263, nya\PRP 292
dia\PRP 263, dia\PRP 296
dia\PRP 263, dia\PRP 306
dia\PRP 263, ia\PRP 339
badut\NN itu,\PR 265, Tiririca,\NNP 266
badut\NN itu,\PR 265, nya\PRP 276
badut\NN itu,\PR 265, Dia\PRP 282
badut\NN itu,\PR 265, anda\PRP 283
badut\NN itu,\PR 265, saya\PRP 284
badut\NN itu,\PR 265, saya\PRP 285
badut\NN itu,\PR 265, saya\PRP 286
badut\NN itu,\PR 265, anda.\PRP 287
badut\NN itu,\PR 265, nya\PRP 295
badut\NN itu,\PR 265, dia\PRP 296
badut\NN itu,\PR 265, nya\PRP 299
badut\NN itu,\PR 265, nya,\PRP 305
badut\NN itu,\PR 265, dia\PRP 306
badut\NN itu,\PR 265, Dia\PRP 310
badut\NN itu,\PR 265, nya.\PRP 337
badut\NN itu,\PR 265, ia\PRP 339
badut\NN itu,\PR 265, nya\PRP 340
Tiririca,\NNP 266, Tiririca\NNP 274
Tiririca,\NNP 266, saya\PRP 284
Tiririca,\NNP 266, saya\PRP 285
Tiririca,\NNP 266, saya\PRP 286
Tiririca,\NNP 266, Tiririca\NNP 293
dia\PRP 270, nya\PRP 279
dia\PRP 270, anda\PRP 283
dia\PRP 270, nya\PRP 292
dia\PRP 270, dia\PRP 306
dia\PRP 270, ia\PRP 339
Tiririca\NNP 272, saya\PRP 284
Tiririca\NNP 272, saya\PRP 285
Tiririca\NNP 272, saya\PRP 286
Tiririca\NNP 274, Tiririca\NNP 293
nya\PRP 276, saya\PRP 284
nya\PRP 276, saya\PRP 285
nya\PRP 276, saya\PRP 286
nya\PRP 276, Saya\PRP 358
nya\PRP 276, persoalan-persoalan\NN ini\PR 360
nya\PRP 279, saya\PRP 284
nya\PRP 279, saya\PRP 285
nya\PRP 279, saya\PRP 286
nya\PRP 279, Saya\PRP 358
nya\PRP 279, persoalan-persoalan\NN ini\PR 360
jutaan\CD penonton\NN 280, Saya\PRP 358
Dia\PRP 282, saya\PRP 284
Dia\PRP 282, saya\PRP 285
Dia\PRP 282, saya\PRP 286
Dia\PRP 282, dia\PRP 296
Dia\PRP 282, ia\PRP 339
Dia\PRP 282, Saya\PRP 358
anda\PRP 283, Saya\PRP 358
anda\PRP 283, persoalan-persoalan\NN ini\PR 360
anda\PRP 283, nya,\PRP 369
saya\PRP 284, saya\PRP 285
saya\PRP 284, saya\PRP 286
saya\PRP 284, Calon\NN selebriti\NN 298
saya\PRP 284, delapan\CD tahun\NN 302
saya\PRP 284, Parlemen\NNP Eropa\NNP 333
saya\PRP 284, Italia\NNP 334
saya\PRP 284, Strasbourg\NNP 336
saya\PRP 284, Licia\NNP Ronzulli\NNP 338
saya\PRP 284, Ronzulli\NNP 350
saya\PRP 284, Partai\NNP Kebebasan\NNP Rakyat\NNP 351
saya\PRP 284, PM\NNP Italia\NNP Silvio\NNP Berlusconi\NNP 352
saya\PRP 284, Saya\PRP 358
saya\PRP 284, persoalan-persoalan\NN ini\PR 360
saya\PRP 284, Parlemen\NNP Eropa\NNP 362
saya\PRP 284, Harry\NNP Potter\NNP 365
saya\PRP 284, Harry\NNP Potter\NNP 367
saya\PRP 284, nya,\PRP 369
saya\PRP 284, JK\NNP Rowling\NNP 375
saya\PRP 284, Nick\NNP 376
saya\PRP 285, saya\PRP 286
saya\PRP 285, Calon\NN selebriti\NN 298
saya\PRP 285, delapan\CD tahun\NN 302
saya\PRP 285, Parlemen\NNP Eropa\NNP 333
saya\PRP 285, Italia\NNP 334
saya\PRP 285, Strasbourg\NNP 336
saya\PRP 285, Licia\NNP Ronzulli\NNP 338
