2, 24, Polri,\NNP, dia.\PRP
7, 24, Freddy.\NNP, dia.\PRP
652, 654, Roy.\NNP, dia\PRP
652, 686, Roy.\NNP, Roy.\NNP
654, 669, dia\PRP, dia.\PRP
656, 669, dampak\NN serangkaian\NN serangan\NN jantung\NN, dia.\PRP
657, 663, Saya\PRP, Saya\PRP
657, 687, Saya\PRP, saya\PRP
661, 663, saya\PRP, Saya\PRP
661, 672, saya\PRP, dia\PRP
661, 677, saya\PRP, saya\PRP
661, 681, saya\PRP, saya\PRP
661, 683, saya\PRP, saya\PRP
661, 686, saya\PRP, Roy.\NNP
661, 687, saya\PRP, saya\PRP
663, 687, Saya\PRP, saya\PRP
666, 672, saya\PRP, dia\PRP
666, 677, saya\PRP, saya\PRP
666, 681, saya\PRP, saya\PRP
666, 683, saya\PRP, saya\PRP
666, 686, saya\PRP, Roy.\NNP
666, 687, saya\PRP, saya\PRP
666, 697, saya\PRP, saya\PRP
677, 681, saya\PRP, saya\PRP
677, 683, saya\PRP, saya\PRP
677, 686, saya\PRP, Roy.\NNP
677, 687, saya\PRP, saya\PRP
677, 689, saya\PRP, dia.\PRP
677, 697, saya\PRP, saya\PRP
677, 717, saya\PRP, saya\PRP
680, 686, Putranya\NN, Roy.\NNP
681, 683, saya\PRP, saya\PRP
681, 686, saya\PRP, Roy.\NNP
681, 687, saya\PRP, saya\PRP
681, 697, saya\PRP, saya\PRP
681, 717, saya\PRP, saya\PRP
683, 686, saya\PRP, Roy.\NNP
683, 687, saya\PRP, saya\PRP
683, 697, saya\PRP, saya\PRP
683, 717, saya\PRP, saya\PRP
687, 697, saya\PRP, saya\PRP
687, 717, saya\PRP, saya\PRP
693, 696, cara\NN Roy\NN bermain\JJ, Dia\PRP
693, 697, cara\NN Roy\NN bermain\JJ, saya\PRP
693, 706, cara\NN Roy\NN bermain\JJ, dia.\PRP
693, 721, cara\NN Roy\NN bermain\JJ, dia.\PRP
693, 745, cara\NN Roy\NN bermain\JJ, dia,\PRP
697, 699, saya\PRP, Saya\PRP
697, 700, saya\PRP, saya\PRP
697, 717, saya\PRP, saya\PRP
699, 702, Saya\PRP, Saya\PRP
699, 749, Saya\PRP, Saya\PRP
717, 724, saya\PRP, pendidikan\NN karakter\NN
717, 765, saya\PRP, kita.\PRP
722, 738, Menteri\NN Pendidikan\NN dan\CC Kebudayaan\NN, Pekan\NN Olahraga\NN dan\CC Seni\NN
773, 782, visi\NN dan\CC misi\NN Presiden\NN Joko\NNP Widodo\NNP, Plt\NN Ketua\NN Umum\JJ
812, 830, saya\PRP, dia\PRP
812, 835, saya\PRP, Ken.\NNP
822, 835, Ken\NNP, Ken.\NNP
832, 837, kena\NN pajak.\NN, kena\NN pajak,\NN
841, 852, Pemerintah\NN, Direktur\NN Jenderal\NN Pengelolaan\NN Pembiayaan\NN dan\CC Risiko\NN
890, 942, OJK\NNP, OJK\NNP
899, 932, Ketua\NN Dewan\NN Komisioner\NN OJK\NNP Muliaman\NNP D\NNP Hadad,\NNP, imbuh\NN Muliaman,\NNP
899, 956, Ketua\NN Dewan\NN Komisioner\NN OJK\NNP Muliaman\NNP D\NNP Hadad,\NNP, tutur\NNP Muliaman.\NNP
917, 924, Muliaman\NNP, Muliaman\NNP
919, 948, sela\NN acara\NN Indonesia\NNP, saya\PRP
919, 952, sela\NN acara\NN Indonesia\NNP, saya\PRP
930, 931, tahap\NN pengenalan.\NN, Hal\NN
948, 952, saya\PRP, saya\PRP
948, 985, saya\PRP, saya\PRP
948, 995, saya\PRP, dia\PRP
952, 985, saya\PRP, saya\PRP
952, 995, saya\PRP, dia\PRP
957, 962, Pemerintah\NN Provinsi\NN Sulawesi\NN Utara\NN, Gubernur\NN Sulawesi\NN Utara\NN Olly\NN Dondokambey\NN
966, 1003, Penyerahan\NN hadiah\NN rumah\NN, saya\PRP
966, 1006, Penyerahan\NN hadiah\NN rumah\NN, saya\PRP
966, 1009, Penyerahan\NN hadiah\NN rumah\NN, saya\PRP
966, 1011, Penyerahan\NN hadiah\NN rumah\NN, saya\PRP
966, 1013, Penyerahan\NN hadiah\NN rumah\NN, saya\PRP
968, 971, Wakil\NN Gubernur\NN Sulut\NNP Steven\NNP Kandou,\NNP, Gubernur\NN Olly\NNP Dondokambey\NNP
973, 987, Liliyana\NNP Natsir.\NNP, ucap\NN Liliyana\NN Natsir\NNP
979, 987, ucap\NN Olly\NNP, ucap\NN Liliyana\NN Natsir\NNP
985, 987, saya\PRP, ucap\NN Liliyana\NN Natsir\NNP
985, 1003, saya\PRP, saya\PRP
985, 1006, saya\PRP, saya\PRP
985, 1009, saya\PRP, saya\PRP
985, 1011, saya\PRP, saya\PRP
985, 1013, saya\PRP, saya\PRP
985, 1035, saya\PRP, Padahal,\NNP
986, 1032, harum\NN nama\NN bangsa\NN dan\CC daerah\NN Sulut,\NNP, mereka\PRP
987, 995, ucap\NN Liliyana\NN Natsir\NNP, dia\PRP
993, 1030, Gubernur\NN DKI\NNP Jakarta\NNP, Pemprov\NN DKI\NNP
999, 1009, Jakarta\NNP Pusat.\NN, saya\PRP
999, 1011, Jakarta\NNP Pusat.\NN, saya\PRP
999, 1013, Jakarta\NNP Pusat.\NN, saya\PRP
1002, 1021, gaji\NN pegawai\NN PDS\NN H.B\NNP Jassin.\NNP, Sejarawan\NN JJ\NN Rizal\NNP dan\CC pengelola\NN PDS\NN H.B\NN Jassin\NN
1003, 1006, saya\PRP, saya\PRP
1003, 1009, saya\PRP, saya\PRP
1003, 1011, saya\PRP, saya\PRP
1003, 1013, saya\PRP, saya\PRP
1003, 1015, saya\PRP, Basuki\NN atau\CC Ahok\NNP
1003, 1023, saya\PRP, mereka\PRP
1003, 1037, saya\PRP, mereka\PRP
1003, 1058, saya\PRP, mereka\PRP
1006, 1009, saya\PRP, saya\PRP
1006, 1011, saya\PRP, saya\PRP
1006, 1013, saya\PRP, saya\PRP
1006, 1015, saya\PRP, Basuki\NN atau\CC Ahok\NNP
1006, 1023, saya\PRP, mereka\PRP
1006, 1037, saya\PRP, mereka\PRP
1006, 1058, saya\PRP, mereka\PRP
1007, 1015, Lu\NNP, Basuki\NN atau\CC Ahok\NNP
1009, 1011, saya\PRP, saya\PRP
1009, 1013, saya\PRP, saya\PRP
1009, 1015, saya\PRP, Basuki\NN atau\CC Ahok\NNP
1009, 1023, saya\PRP, mereka\PRP
1009, 1027, saya\PRP, dana\NN hibah\NN
1009, 1037, saya\PRP, mereka\PRP
1009, 1058, saya\PRP, mereka\PRP
1011, 1013, saya\PRP, saya\PRP
1011, 1015, saya\PRP, Basuki\NN atau\CC Ahok\NNP
1011, 1023, saya\PRP, mereka\PRP
1011, 1027, saya\PRP, dana\NN hibah\NN
1011, 1037, saya\PRP, mereka\PRP
1011, 1058, saya\PRP, mereka\PRP
1013, 1015, saya\PRP, Basuki\NN atau\CC Ahok\NNP
1013, 1023, saya\PRP, mereka\PRP
1013, 1027, saya\PRP, dana\NN hibah\NN
1013, 1037, saya\PRP, mereka\PRP
1013, 1058, saya\PRP, mereka\PRP
1017, 1018, Kota\NN DKI\NNP Jakarta,\NNP, Jalan\NN Medan\NNP Merdeka\NNP
1023, 1037, mereka\PRP, mereka\PRP
1027, 1028, dana\NN hibah\NN, Dia\PRP
1036, 1052, Ahok\NNP, Ahok.\NNP
1036, 1077, Ahok\NNP, Ahok.\NNP
1052, 1077, Ahok.\NNP, Ahok.\NNP
1053, 1077, Ahok\NNP, Ahok.\NNP
1061, 1077, Dia\PRP, Ahok.\NNP
1066, 1077, Pernah\NN, Ahok.\NNP
1073, 1075, besok\NNP aku\NN stop\NN, saya\PRP
1093, 1098, Diskusi\NN Media\NNP Prospek\NN SSB\NNP dan\CC BUM\NN, Maurin,\NNP
1116, 1117, Maurin.\NNP, Ia\PRP
1138, 1139, Anggota\NN Komisi\NN II\CDO, DPR\NN RI,\NNP
1139, 1140, DPR\NN RI,\NNP, Arteria\NNP Dahlan,\NNP
1145, 1146, Pilkada.\NNP, Keputusan\NN ini\DT
1205, 1223, ucap\NN Arteria.\NNP, dia.\PRP
1206, 1223, Arteria,\NNP, dia.\PRP
1251, 1257, Masyarakat\NN, Direktur\NN Jenderal\NN Pembiayaan\NN perumahan\NN Maurin\NNP Sitorus\NNP
1251, 1271, Masyarakat\NN, ia\PRP
1289, 1299, bantuan\NN, bantuan\NN
1323, 1326, Saya\PRP, Saya\PRP
1323, 1328, Saya\PRP, Yusril\NNP
1326, 1337, Saya\PRP, Dia\PRP
1328, 1365, Yusril\NNP, Yusril\NNP
1333, 1350, Undang\NNP, saya,\PRP
1333, 1359, Undang\NNP, saya\PRP
1333, 1383, Undang\NNP, saya\PRP
1350, 1362, saya,\PRP, Yusril.\NNP
1354, 1359, supaya\NN MK\NNP, saya\PRP
1354, 1375, supaya\NN MK\NNP, pemohon\NN atau\CC Ahok.\NNP
1354, 1397, supaya\NN MK\NNP, keinginan\NN Ahok.\NNP
1359, 1362, saya\PRP, Yusril.\NNP
1359, 1383, saya\PRP, saya\PRP
1362, 1365, Yusril.\NNP, Yusril\NNP
1362, 1372, Yusril.\NNP, dia,\PRP
