id,Frase,coref id,
33,monyet\NN,,
,.\Z,,
34,Monyet\NN besar\JJ,,
,akan\MD dikerahkan\VB di\IN,,
35,dua\CD stadion\NN,,
,untuk\SC mengusir\VB serbuan\NN,,
36,monyet\NN kecil\JJ,,
,"\Z""",,
37,Monyet\NN besar\JJ,,
,akan\MD dikerahkan\VB di\IN,,
38,dua\CD stadion\NN tersebut\PR,,
,untuk\SC mengusir\VB serbuan\NN,,
39,monyet\NN kecil\JJ,,
,",\Z \Z kata\VB""",,
40,Devender\NNP Prasad\NNP,,
,",\Z pejabat\NN",,
41,pemerintah\NNP kota\NNP Delhi\NNP,,
,kepada\IN,,
42,kantor_berita\NNP AFP\NNP,,
,.\Z,,
,Selama\IN,,
43,bertahun-tahun\CD,,
44,monyet\NN,,
45,warga\NN Delhi\NNP,,
,.\Z,,
46,Binatang\NN ini\PR,,
,menaiki\VB,,
47,kereta\NN metro\NN,,
,dan\CC bahkan\RB berkeliaran\VB di\IN,,
48,kompleks\NN gedung\NN parlemen\NN,,
,.\Z,,
,Belum\NEG lama\JJ ini\PR,,
49,kawanan\NN monyet\NN,,
,menyerbu\VB,,
50,kantor\NN perdana_menteri\NN,,
,dan\CC,,
51,departemen\NN pertahanan\NN,,
,.\Z,,
52,Binatang\NN ini\PR,,
,tidak\NEG bisa\MD dibunuh\VB karena\SC,,
53,masyarakat\NN India\NNP,,
,menganggap\VB,,
54,mereka\PRP,,
,suci\JJ .\Z,,
,Selain\CC harus\MD mengusir\VB,,
55,kawanan\NN monyet\NN,,
,",\Z",,
56,pemkot\NNP Delhi\NNP,,
,juga\RB kesulitan\VB mengatasi\VB,,
57,wabah\NN demam_berdarah\NN,,
,.\Z,,
58,Curah\NN hujan\NN,,
,yang\SC tinggi\JJ menyebabkan\VB,,
59,banyak\CD genangan\NN,,
,",\Z",,
60,tempat\NN ideal\JJ,,
,bagi\IN,,
61,nyamuk\NN aedes\NNP,,
,berkembang_biak\VB .\Z,,
62,Pemkot\NN,,
,telah\MD menempatkan\VB,,
63,ikan\NN,,
,di\IN,,
64,berbagai\CD genangan\NN air\NN,,
,untuk\SC memangsa\VB,,
65,telur\NN nyamuk\NN,,
,.\Z,,
66,Miliarder\NN AS\NNP,,
,jamu\VB,,
67,orang_kaya\NN Cina\NNP,,
68,Dua\CD miliarder\NN Amerika\NNP,,
69,Bill\NNP Gates\NNP,,
70,Warren\NNP Buffett\NNP,,
,akan\MD mengadakan\VB,,
71,jamuan\NN makan_malam\NN,,
,di\IN,,
72,Beijing\NNP,,
,bagi\IN,,
73,sejumlah\CD orang\NN terkaya\JJ,,
,di\IN,,
74,Cina\NNP,,
,.\Z,,
75,Gates\NNP dan\CC Buffett\NNP,,
,mengatakan\VB,,
76,mereka\PRP,,
,berada\VB di\IN,,
77,Cina\NNP,,
,untuk\SC mempelajari\VB,,
78,kegiatan\NN amal\NN,,
,di\IN,,
79,negara\NN itu\PR,,
,.\Z,,
80,Banyak\CD orang\NN,,
,menduga\VB,,
81,mereka\PRP,,
,ingin\RB membujuk\VB,,
82,para\DT tamu\NN,,
,agar\SC,,
83,lebih\RB banyak\CD,,
,menyumbang\VB untuk\IN,,
84,amal\NN,,
,.\Z,,
85,Kedua\CD,,
86,orang\NN terkaya\JJ dunia\NN,,
87,banyak\CD orang\NN,,
,yang\SC sangat\RB kaya\JJ di\IN,,
88,Amerika\NNP,,
,agar\SC menyumbangkan\VB separuh\CD kekayaan\NN,,
89,mereka\PRP,,
,.\Z,,
,Ada\VB,,
90,kerahasiaan\NN,,
,mengenai\IN,,
91,acara\NN itu\PR,,
,",\Z",,
92,pihak\NN penyelenggara\NN,,
,tidak\NEG membeberkan\VB,,
93,nama-nama\NN tamu\NN,,
,.\Z,,
94,Salah_satu\CD orang\NN,,
,yang\SC akan\MD menghadiri\VB,,
95,jamuan\NN makan_malam\NN,,
,itu\PR adalah\VB,,
96,Chen\NNP Guangbiao\NNP,,
,",\Z",,
97,seorang\NND miliarder\NN,,
,yang\SC meraup\VB,,
98,kekayaan\NN,,
,dari\IN bisnis\NN mendaur_ulang\VB,,
99,sampah\NN,,
,dari\IN,,
100,industri\NN bangunan\NN,,
,.\Z,,
101,Dia\PRP,,
,mengatakan\VB kepada\IN,,
102,BBC\NNP,,
,bahwa\SC,,
103,dia\PRP,,
,sudah\MD berencana\VB menyumbangkan\VB seluruh\CD harta\NN,,
104,nya\PRP,,
,untuk\IN,,
105,amal\NN,,
,bila\SC,,
106,dia\PRP,,
,meninggal\VB .\Z,,
,"\Z Beramal\VB dan\CC membantu\VB sudah\MD menjadi\VB""",,
107,bagian\NN,,
,dari\IN,,
108,budaya\NN Cina\NNP,,
,selama\IN,,
109,5.000\CD tahun\NN,,
,.\Z,,
,Tetapi\CC,,
110,kegiatan\NN amal\NN resmi\JJ,,
,baru\MD dikembangkan\VB di\IN,,
111,Cina\NNP,,
,dalam\IN,,
112,30\CD tahun\NN terakhir\JJ,,
,",\Z sejak\SC",,
113,kami\PRP,,
,menerapkan\VB,,
114,reformasi_ekonomi\NN,,
,".\Z \Z""",,
,"\Z""",,
115,Banyak\CD orang\NN,,
,baru\MD mulai\MD menjadi\VB kaya\JJ dan\CC,,
116,kami\PRP,,
,baru-baru_ini\RB saja\RB bisa\MD memberi\VB,,
117,makan\NN,,
118,diri\NN sendiri\NN,,
119,nya\PRP,,
,.\Z,,
,Menyumbangkan\VB,,
120,uang\NN,,
,untuk\IN,,
121,amal\NN,,
,belum\NEG begitu\RB berkembang\VB di\IN,,
122,Cina\NNP,,
,sebaik\JJ di\IN,,
123,banyak\CD negara\NN lain\JJ,,
,.\Z,,
,Kalau\SC,,
124,jamuan\NN makan_malam\NN ini\PR,,
,"bisa\MD dikatakan\VB berhasil\VB ,\Z",,
125,keberhasilan\NN itu\PR,,
,adalah\VB mendorong\VB,,
126,perdebatan\NN,,
,mengenai\IN apa\SC arti\NN beramal\VB bagi\IN yang\SC membutuhkan\VB .\Z,,
,Kisah\NN,,
127,pendiri\NN Facebook\NNP,,
,dibuat\VB,,
128,komik\NN,,
,Kisah\NN,,
129,pendiri\NN Facebook\NNP,,
130,Mark\NNP Zuckerberg\NNP,,
131,sebuah\NND komik\NN biografi\NN,,
,.\Z,,
132,Komik\NN,,
,dengan\IN judul\NN,,
133,Mark\NNP Zuckerberg\NNP,,
,:\Z,,
134,Pencipta\NN Facebook\NNP,,
,",\Z akan\MD tersedia\VB di\IN",,
135,pasar\NN,,
,sebelum\SC,,
136,Desember\NNP 2010\CD,,
,",\Z",,
137,demikian\PR,,
,pernyataan\NN,,
138,penerbit\NNP Bluewater\NNP Productions\NNP,,
,.\Z,,
139,Penulis\NNP Jerome\NNP Maida\NNP,,
,menyebut\VB,,
140,kisah\NN Zuckerberg\NNP,,
,"\Z mengagumkan\VB ""\Z dan\CC ""\Z luar_biasa\JJ ""\Z .\Z""",,
141,Sebuah\NND film\NN,,
,mengenai\IN,,
142,Facebook\NNP,,
,dengan\IN judul\NN,,
143,The\NNP Social\NNP Network\NNP,,
,",\Z juga\RB akan\MD dirilis\VB pada\IN",,
144,tanggal\NN 15\CD Oktober\NNP nanti\NN,,
,.\Z,,
,Film\NN yang\SC ditulis\VB oleh\IN pencipta\NN serial\NN,,
145,West\NNP Wing\NNP,,
146,Aaron\NNP Sorkin\NNP,,
147,David\NNP Fincher\NNP,,
,yang\SC pernah\MD menggarap\VB film\NN,,
148,Fight\NNP '\NNP s\NNP Club\NNP,,
,ini\PR sebenarnya\RB belum\NEG memperoleh\VB izin\NN,,
149,Mark\NNP Zuckerberg\NNP,,
,.\Z,,
,Pemuda\NN berusia\VB,,
150,26\CD tahun\NN,,
,"ini\PR mengatakan\VB \Z""",,
151,Saya\PRP,,
,mengharapkan\VB tidak\NEG ada\VB orang\NN yang\SC membuat\VB,,
152,film\NN,,
,tentang\IN,,
153,saya\PRP,,
,ketika\SC,,
154,saya\PRP,,
,"masih\MD hidup\VB ,\Z \Z kata\VB""",,
155,nya\PRP,,
,dalam\IN,,
156,sebuah\NND konferensi\NN teknologi\NN,,
157,Juni\NNP silam\NN,,
,Hingga\IN,,
158,Juli\NNP 2010\CD,,
159,lebih\RB dari\IN 500\CD juta\CD,,
160,jejaring\NN sosial\JJ,,
,tersebut\PR .\Z,,
,Hanya\RB butuh\VB,,
161,enam\CD tahun\NN,,
,bagi\IN,,
162,Zuckerberg\NNP,,
,untuk\SC bisa\MD mencapai\VB,,
163,kesuksesan\NN,,
,seperti\IN,,
164,sekarang\NN ini\PR,,
,",\Z setelah\SC sebelum\SC",,
165,nya\PRP,,
166,dia\PRP,,
167,situs\NN ini\PR,,
,saat\SC masih\MD duduk\VB sebagai\IN,,
168,mahasiswa\NN,,
,di\IN,,
169,Universitas\NNP Harvard\NNP,,
,.\Z,,
170,September\NNP silam\NN,,
,",\Z",,
171,majalah\NNP Forbes\NNP,,
,memasukkan\VB,,
172,dia\PRP,,
,dalam\IN daftar\NN,,
173,35\CD orang\NN terkaya\JJ,,
,di\IN,,
174,Amerika\NNP Serikat\NNP,,
,dengan\SC,,
175,total\NN kekayaan\NN,,
,diperkirakan\VB mencapai\VB,,
176,"US\NNP $\SYM 6,4\CD miliar\CD",,
,.\Z,,
,Tetapi\CC langkah\NN,,
177,dia\PRP,,
,menuju\VB,,
178,kesuksesan\NN,,
,tidak\NEG lah\RP mulus\JJ .\Z,,
179,Dua\CD orang\NND,,
180,rekan\NN Zuckerberg\NNP,,
181,Harvard\NNP,,
,mengklaim\VB ide\NN,,
182,pembuatan\NN Facebook\NNP,,
,datang\VB dari\IN,,
183,mereka\PRP,,
,.\Z,,
184,Mereka\PRP,,
,terlibat\VB dalam\IN,,
185,sengketa\NN hukum\NN,,
,yang\SC berlarut-larut\VB pada\IN,,
186,tahun\NN 2008\CD,,
,dan\CC diakhiri\VB dengan\IN pembayaran\NN yang\SC dirahasiakan\VB jumlah\NN,,
187,nya\PRP,,
,kepada\IN,,
188,Cameron\NNP dan\CC Tyler\NNP,,
,"Winklevoss\NNP ,\Z yang\SC",,
189,kini\NN,,
,juga\RB membuat\VB situs\NN,,
190,jejaring\NN sosial\JJ,,
,bernama\VB,,
191,ConnectU\NNP,,
,.\Z,,
,Perebutan\NN,,
192,jamrud\NNP Bahia\NNP,,
,raksasa\JJ,,
193,Jaksa\NN Kalifornia\NNP,,
,akan\MD mulai\MD menanyai\VB,,
194,sejumlah\CD pihak\NN,,
,untuk\SC menentukan\VB mengenai\IN,,
195,kepemilikan\NN,,
,dari\IN,,
196,jamrud\NN raksasa\JJ,,
,",\Z yang\SC disebut\VB sebagai\IN terbesar\JJ .\Z",,
197,Jamrud\NNP Bahia\NNP,,
,dinamakan\VB sesuai\JJ lokasi\NN penemuan\NN,,
198,nya\PRP,,
,di\IN,,
199,salah_satu\CD daerah\NN,,
,di\IN,,
200,Brasil\NNP,,
,memiliki\VB berat\NN,,
201,380\CD kg\NND,,
,.\Z,,
,Diperkirakan\VB,,
202,jamrud\NN raksasa\JJ itu\PR,,
,bernilai\VB,,
203,lebih\RB dari\IN US\NNP $\SYM 370\CD juta\CD,,
,dan\CC,,
204,setidaknya\RB enam\CD orang\NN,,
,mengklaim\VB kepemilikan\NN,,
205,hak\NN,,
,atas\IN,,
206,batu\NN tersebut\PR,,
,.\Z,,
207,Jaksa\NN,,
,akan\MD mendengarkan\VB,,
208,semua\CD pihak\NN,,
,yang\SC mengklaim\VB,,
209,permata\NN itu\PR,,
,",\Z sebelum\SC memutuskan\VB kasus\NN",,
210,nya\PRP,,
,pada\IN,,
211,Oktober\NNP nanti\NN,,
,.\Z,,
212,Salah_satu\CD,,
,"dari\IN pihak\NN yang\SC berselisih\VB ,\Z adalah\VB",,
213,Anthony\NNP Thomas\NNP,,
214,ahli\NN konstruksi\NN,,
215,Kalifornia\NNP,,
,yang\SC mengatakan\VB,,
216,dia\PRP,,
,telah\MD membayar\VB kepada\IN,,
217,dua\CD orang\NND,,
218,agen\NN permata\NN,,
219,senilai\NN US\NNP $\SYM 60.000\CD,,
,untuk\IN,,
220,jamrud\NN tersebut\PR,,
,tak\NEG lama\JJ setelah\SC ditemukan\VB,,
221,sembilan\CD tahun\NN lalu\NN,,
,.\Z,,
222,Thomas\NNP,,
,mengatakan\VB telah\MD mengatur\VB agar\SC,,
223,batu\NN itu\PR,,
,dikirim\VB melalui\IN,,
224,kapal\NN,,
,ke\IN kediaman\NN,,
225,nya\PRP,,
,di\IN,,
226,San\NNP Jose\NNP,,
,",\Z tetapi\CC tak\NEG pernah\MD muncul\VB .\Z",,
227,Dia\PRP,,
,percaya\VB,,
228,batu\NN itu\PR,,
,telah\MD dicuri\VB untuk\SC dijual\VB kembali\RB dengan\IN,,
229,harga\NN yang\SC lebih\RB mahal\JJ,,
,.\Z,,
230,Thomas\NNP,,
231,hanya\RB salah_satu\CD,,
232,enam\CD pihak\NN,,
,yang\SC mengklaim\VB sebagai\IN pemilik\NN,,
233,jamrud\NN raksasa\JJ itu\PR,,
,.\Z,,
234,Satu\CD masalah\NN,,
,yang\SC dihadapi\VB adalah\VB,,
235,dia\PRP,,
,kehilangan\VB,,
236,tanda_terima\NN,,
,akibat\IN kebakaran\NN yang\SC melanda\VB rumah\NN,,
237,nya\PRP,,
,.\Z,,
238,Jamrud\NN itu\PR,,
,akhirnya\RB sampai\VB ke\IN,,
239,Amerika\NNP,,
,",\Z meskipun\SC setibanya\SC di\IN",,
240,Amerika\NNP,,
,tidak\NEG jelas\JJ siapa\SC pemilik\NN,,
241,nya\PRP,,
,.\Z,,
242,Satu\CD hal\NN,,
,yang\SC diketahui\VB,,
243,batu\NN itu\PR,,
,sempat\MD disimpan\VB di\IN,,
244,lemari_besi\NN bank\NN,,
,di\IN,,
245,New\NNP Orleans\NNP,,
,yang\SC terkena\VB,,
246,banjir\NN,,
,ketika\SC,,
247,daerah\NN itu\PR,,
,diterjang\VB,,
248,Badai\NNP Katrina\NNP,,
,",\Z sehingga\SC",,
249,batu\NN berharga\JJ,,
,terendam\VB di\IN,,
250,dalam\NN air\NN,,
,untuk\IN,,
251,beberapa\CD bulan\NN,,
,.\Z,,
252,Jamrud\NNP Bahia\NNP,,
,kemudian\RB dibawa\VB ke\IN,,
253,Las\NNP Vegas\NNP,,
,untuk\SC dilihat\VB oleh\IN,,
254,calon\NN pembeli\NN,,
,namun\CC disita\VB oleh\IN polisi\NN,,
255,Los\NNP Angeles\NNP,,
,.\Z,,
256,Badut\NN politikus\NN,,
,ditantang\VB baca\VB tulis\VB,,
257,Seorang\NND badut\NN,,
,di\IN,,
258,Brasil\NNP,,
,yang\SC mempunyai\VB,,
259,peluang\NN besar\JJ,,
,meraih\VB,,
260,kursi\NN,,
,di\IN,,
261,parlemen\NN,,
,dalam\IN,,
262,pemilihan\NN Minggu\NNP 3\CD /\Z 10\CD,,
,#NAME?,,
263,dia\PRP,,
,bisa\MD membaca\VB dan\CC menulis\VB .\Z,,
264,Jajak\NN pendapat\NN,,
,memperlihatkan\VB,,
265,badut\NN itu\PR,,
,",\Z",,
266,Tiririca\NNP,,
,",\Z akan\MD meraih\VB",,
267,lebih\RB dari\IN satu\CD juta\CD suara\NN,,
,.\Z,,
,Namun\CC,,
268,hakim\NN,,
,di\IN,,
269,Sao\NNP Paulo\NNP,,
,menuntut\VB,,
270,dia\PRP,,
,untuk\SC memperlihatkan\VB bisa\MD memenuhi\VB persyaratan\NN baca\VB tulis\VB .\Z,,
271,Sejumlah\CD surat_kabar\NN Brasil\NNP,,
,melaporkan\VB,,
272,Tiririca\NNP,,
,#NAME?,,
273,satu\CD dari\IN sepuluh\CD warga\NN Brasil\NNP,,
,buta_aksara\JJ .\Z,,
274,Tiririca\NNP,,
,#NAME?,,
275,bahasa_sehari-hari\NN Portugis\NNP,,
,arti\NN,,
276,nya\PRP,,
,tukang\NN mengeluh\VB menjadi\VB,,
277,sensasi\NN besar\JJ,,
,selama\IN,,
278,kampanye\NN pemilihan\NN,,
,.\Z,,
,Video\NN kampanye\NN,,
279,nya\PRP,,
,yang\SC kocak\JJ berhasil\VB meraih\VB,,
280,jutaan\CD penonton\NN,,
,di\IN,,
281,YouTube\NNP,,
,.\Z,,
282,Dia\PRP,,
,"antara\IN lain\JJ menggunakan\VB slogan\NN \Z Tidak\NEG bisa\MD lebih\RB buruk\JJ lagi\RB ""\Z dan\CC ""\Z Apa\WH yang\SC dilakukan\VB wakil\NN""",,
283,anda\PRP,,
,?\Z Sungguh\RB,,
284,saya\PRP,,
,tidak\NEG tahu\VB .\Z Tapi\CC pilih\VB lah\RP,,
285,saya\PRP,,
,dan\CC,,
286,saya\PRP,,
,akan\MD mencari_tahu\VB untuk\IN,,
287,anda\PRP,,
,".\Z \Z""",,
288,Hakim\NN,,
,memutuskan\VB untuk\SC menggelar\VB,,
289,ujian\NN aksara\NN,,
,setelah\SC,,
290,majalah\NNP Epoca\NNP,,
,menayangkan\VB,,
291,video\NN,,
,di\IN situs\NN,,
292,nya\PRP,,
,yang\SC memperlihatkan\VB,,
293,Tiririca\NNP,,
,tampak\VB kesulitan\VB membaca\VB .\Z,,
294,Komisi\NN pemilihan\NN,,
,mengatakan\VB sudah\MD terlambat\VB untuk\SC menghentikan\VB pencalonan\NN,,
295,nya\PRP,,
,namun\CC,,
296,dia\PRP,,
,bisa\MD diberhentikan\VB setelah\SC,,
297,pemilihan\NN nanti\NN,,
,jika\SC gagal\VB memperlihatkan\VB kemampuan\NN membaca\VB .\Z,,
298,Calon\NN selebriti\NN,,
,"Tiririca\NNP ,\Z yang\SC nama\NN asli\JJ",,
299,nya\PRP,,
300,Francisco\NNP Everardo\NNP Oliveira\NNP Silva\NNP,,
301,sirkus\NN,,
,sejak\SC berusia\VB,,
302,delapan\CD tahun\NN,,
,di\IN,,
303,negara_bagian\NN miskin\JJ,,
,",\Z",,
304,Ceara\NNP,,
,.\Z,,
,Dengan\IN pengalaman\NN,,
305,nya\PRP,,
,",\Z",,
306,dia\PRP,,
307,kini\NN,,
308,salah_seorang\CD pelawak\NN,,
,yang\SC terkenal\VB di\IN,,
309,TV\NN,,
,.\Z,,
310,Dia\PRP,,
,merupakan\VB,,
311,salah_seorang\CD dari\IN puluhan\CD calon\NN,,
,yang\SC berasal\VB dari\IN dunia\NN,,
312,olahraga\NN maupun\CC pertunjukan\NN,,
,",\Z yang\SC berjuang\VB untuk\SC merebut\VB",,
313,kursi\NN,,
,di\IN,,
314,majelis_rendah\NN parlemen\NN,,
,dengan\SC bersaing\VB melawan\VB politikus\NN berpengalaman\VB .\Z,,
,Seluruhnya\RB tercatat\VB,,
315,6.000\CD calon\NN,,
,dari\IN,,
316,27\CD partai\NN,,
,untuk\SC meraih\VB,,
317,513\CD kursi\NN,,
,di\IN,,
318,parlemen\NN,,
,.\Z,,
319,Calon\NN lain\JJ,,
,yang\SC diduga\VB akan\MD meraih\VB,,
320,kursi\NN,,
,di\IN,,
321,parlemen\NN,,
,dengan\IN,,
322,kemenangan\NN mutlak\JJ,,
,adalah\VB,,
323,Romario\NNP,,
,",\Z yang\SC merupakan\VB",,
324,salah_seorang\CD,,
325,bintang\NN sepak_bola\NN,,
326,Piala\NNP Dunia\NNP 1994\CD,,
,.\Z,,
327,Para\DT pengamat\NN,,
,mengatakan\VB popularitas\NN,,
328,para\DT selebriti\NN,,
,mencerminkan\VB,,
329,kebingungan\NN,,
,dengan\IN,,
330,politik\NN utama\JJ,,
,karena\IN maraknya\NN,,
331,sejumlah\CD skandal\NN korupsi\NN,,
,.\Z,,
332,"Ibu\NN ,\Z bayi\NN dan\CC parlemen\NN",,
,Seorang\NND anggota\NN,,
333,Parlemen\NNP Eropa\NNP,,
,asal\IN,,
334,Italia\NNP,,
,menghadiri\VB,,
335,sidang\NN parlemen\NN,,
,di\IN,,
336,Strasbourg\NNP,,
,dengan\SC menggendong\VB anak\NN bayi\NN,,
337,nya\PRP,,
,.\Z,,
338,Licia\NNP Ronzulli\NNP,,
,mengatakan\VB,,
339,ia\PRP,,
,ingin\RB menunjukkan\VB berat\JJ,,
340,nya\PRP,,
,beban\NN yang\SC ditanggung\VB,,
341,kaum\NN perempuan\NN,,
,untuk\SC menjalani\VB,,
342,karir\NN,,
,sekaligus\RB mengasuh\VB,,
343,anak\NN,,
,.\Z,,
344,Para\DT anggota\NN parlemen\NN,,
,sedang\MD membahas\VB usul\NN untuk\SC memperbaiki\VB,,
345,hak\NN maupun\CC kesempatan\NN,,
,bagi\IN,,
346,perempuan\NN,,
,untuk\SC bekerja\VB .\Z,,
347,Vittoria\NNP,,
,yang\SC baru\MD berusia\VB,,
348,satu\CD bulan\NN,,
,tampak\VB tidur\VB nyenyak\JJ selama\SC,,
349,sidang\NN,,
,berlangsung\VB .\Z,,
350,Ronzulli\NNP,,
,yang\SC mewakili\VB,,
351,Partai\NNP Kebebasan\NNP Rakyat\NNP,,
,pimpinan\NN,,
352,PM\NNP Italia\NNP Silvio\NNP Berlusconi\NNP,,
,mendapat\VB,,
353,sambutan\NN meriah\JJ,,
,ketika\SC berdiri\VB untuk\SC menyampaikan\VB pidato\NN,,
354,nya\PRP,,
,.\Z,,
355,Ia\PRP,,
,mengatakan\VB kepada\IN rekan\NN,,
356,nya\PRP,,
357,sesama\NN anggota\NN parlemen\NN,,
358,Saya\PRP,,
,ingin\RB melihat\VB,,
359,komitmen\NN yang\SC lebih\RB besar\JJ,,
,untuk\IN,,
360,persoalan-persoalan\NN ini\PR,,
,dari\IN,,
361,lembaga-lembaga\NN Eropa\NNP,,
,",\Z dimulai\VB dari\IN dalam\NN",,
362,Parlemen\NNP Eropa\NNP,,
363,sendiri\NN,,
364,Naskah\NN asli\JJ,,
365,Harry\NNP Potter\NNP,,
366,Naskah\NN asli\JJ,,
,dari\IN kisah\NN,,
367,Harry\NNP Potter\NNP,,
,yang\SC ditulis\VB,,
368,tangan\NN,,
,oleh\IN pengarang\NN,,
369,nya\PRP,,
,",\Z",,
370,JK\NNP Rowling\NNP,,
,",\Z dipamerkan\VB sebagai\IN",,
371,bagian\NN,,
,dari\IN,,
372,festival\NN buku\NN,,
,di\IN,,
373,Skotlandia\NNP selatan\NNP,,
,.\Z,,
374,Dua\CD halaman\NND,,
,naskah\NN yang\SC dibingkai\VB dan\CC ditandatangani\VB oleh\IN,,
375,JK\NNP Rowling\NNP,,
,itu\PR berisi\VB Balada\NN,,
376,Nick\NNP,,
,Si\DT Kepala\NN Nyaris\RB Putus\VB .\Z,,
377,Naskah\NN itu\PR,,
,akan\MD dipamerkan\VB dalam\IN,,
378,festival\NN,,
,di\IN,,
379,kota\NNP Wigtown\NNP,,
380,tanggal\NN 24\CD sampai\IN 3\CD Oktober\NNP,,
,Kisah\NN,,
381,hantu\NN Nick\NNP,,
,itu\PR awal\NN,,
382,nya\PRP,,
,ditulis\VB sebagai\IN,,
383,bagian\NN,,
,dari\IN buku\NN,,
384,Harry\NNP Potter\NNP,,
,dan\CC,,
385,Kamar\NN Rahasia\NN,,
,tetapi\CC kemudian\CC,,
386,kedua\CD halaman\NN itu\PR,,
,dibuang\VB sehingga\SC tidak\NEG termasuk\VB dalam\IN buku\NN yang\SC diterbitkan\VB .\Z,,
387,Kedua\CD halaman\NN itu\PR,,
,disumbangkan\VB oleh\IN,,
388,JK\NNP Rowling\NNP,,
,bagi\IN,,
389,Yayasan\NNP Kamus\NNP Bahasa\NNP Skotlandia\NNP,,
390,tahun\NN 2005\CD,,
391,pengumpulan\NN dana\NN,,
,bagi\IN pembuatan\NN,,
392,kamus\NN baru\JJ,,
393,bahasa\NN asli\JJ,,
394,Sekarang\NN,,
,halaman\NN,,
395,naskah\NN asli\JJ,,
,itu\PR dimiliki\VB oleh\IN seorang\NND,,
396,kolektor\NN buku\NN terkemuka\JJ,,
,Inggris\NNP dan\CC pemilik\NN,,
397,jurnal\NNP Asia\NNP Literary\NNP Review\NNP,,
398,Ilyas\NNP Khan\NNP,,
399,umum\NN,,
,.\Z,,
400,Ilyas\NNP Khan\NNP,,
,"mengatakan\VB ,\Z \Z""",,
401,The\NNP Asia\NNP Literary\NNP Review\NNP,,
,pernah\MD mendukung\VB,,
402,berbagai\CD festival\NN buku\NN,,
,tetapi\CC,,
403,saya\PRP,,
,harus\MD mengatakan\VB bahwa\SC,,
404,saya\PRP,,
,sangat\RB senang\JJ,,
405,kami\PRP,,
,ikut\VB dalam\IN,,
406,Festival\NNP Wigtown\NNP,,
,"ini\PR .\Z \Z""",,
,"\Z Memamerkan\VB naskah\NN Balada\NN""",,
407,Nick\NNP,,
,si\DT Kepala\NN Nyaris\RB Putus\VB adalah\VB cara\NN yang\SC sangat\RB bagus\JJ untuk\SC membantu\VB mendukung\VB,,
408,acara\NN ini\PR,,
,".\Z \Z""",,
409,TV\NN Australia\NNP,,
,salah\JJ sebut\VB,,
410,pemenang\NN,,
411,Acara\NN TV\NN,,
412,Australia\NNP '\NNP s\NNP Next\NNP Top\NNP Model\NNP,,
413,pemenang\NN yang\SC salah\JJ,,
,dalam\IN final\NN yang\SC disiarkan\VB langsung\RB pada\IN seri\NN,,
414,nya\PRP,,
,yang\SC,,
415,keenam\OD,,
,.\Z,,
416,Kelsey\NNP Martinovich\NNP,,
,dianugerahi\VB,,
417,mahkota\NN kemenangan\NN,,
,sesuai\JJ,,
418,pilihan\NN pemirsa\NN,,
,dan\CC sedang\MD menyampaikan\VB,,
419,pidato\NN,,
,",\Z namun\CC",,
420,presenter\NNP Sarah\NNP Murdoch\NNP,,
,menyela\VB .\Z,,
